Group,ordering,semantic,simultaneous_write,Overall_Accuracy,Overall_Latency
1_Baseline,100.00,73.33,40.00,71.11,5.15
2_StrongOnly,100.00,73.33,40.00,71.11,4.77
3_TimestampPriority,100.00,70.00,100.00,90.00,4.59
4_TrustScorePriority,100.00,26.67,60.00,62.22,5.24
5_LeaderMediation,100.00,26.67,60.00,62.22,5.15
6_Ablation1_NoJudge,100.00,73.33,100.00,91.11,3.66
7_Ablation2_NoPreFilter,100.00,40.00,0.00,46.67,1666.20
8_FullProposed,100.00,46.67,100.00,82.22,544.86
