Group,Scenario,Accuracy%,ConsistencyRate%,TaskSuccessRate%,AvgLatencyMs,LLMCalls,Iterations
1_Baseline,ordering,100.00,0.00,100.00,2.94,0,30
1_Baseline,semantic,73.33,0.00,100.00,6.04,0,30
1_Baseline,simultaneous_write,40.00,0.00,100.00,4.15,0,30
2_StrongOnly,ordering,100.00,0.00,100.00,3.93,0,30
2_StrongOnly,semantic,73.33,0.00,100.00,5.44,0,30
2_StrongOnly,simultaneous_write,40.00,0.00,100.00,5.37,0,30
3_TimestampPriority,ordering,100.00,100.00,100.00,2.65,0,30
3_TimestampPriority,semantic,73.33,100.00,100.00,5.11,0,30
3_TimestampPriority,simultaneous_write,100.00,100.00,100.00,5.31,0,30
4_TrustScorePriority,ordering,100.00,100.00,100.00,4.37,0,30
4_TrustScorePriority,semantic,26.67,100.00,100.00,5.38,0,30
4_TrustScorePriority,simultaneous_write,60.00,100.00,100.00,6.66,0,30
5_LeaderMediation,ordering,100.00,100.00,100.00,4.35,0,30
5_LeaderMediation,semantic,26.67,100.00,100.00,5.65,0,30
5_LeaderMediation,simultaneous_write,60.00,100.00,100.00,5.94,0,30
6_Ablation1_NoJudge,ordering,100.00,100.00,100.00,3.98,0,30
6_Ablation1_NoJudge,semantic,73.33,100.00,100.00,5.74,0,30
6_Ablation1_NoJudge,simultaneous_write,100.00,100.00,100.00,6.62,0,30
7_Ablation2_NoPreFilter,ordering,100.00,100.00,100.00,1365.03,30,30
7_Ablation2_NoPreFilter,semantic,80.00,100.00,100.00,1444.40,30,30
7_Ablation2_NoPreFilter,simultaneous_write,46.67,100.00,100.00,1647.83,30,30
8_FullProposed,ordering,100.00,100.00,100.00,3.98,0,30
8_FullProposed,semantic,80.00,100.00,100.00,1426.48,30,30
8_FullProposed,simultaneous_write,100.00,100.00,100.00,5.69,0,30
