Group,Scenario,Accuracy%,ConsistencyRate%,TaskSuccessRate%,AvgLatencyMs,LLMCalls,Iterations
1_Baseline,ordering,100.00,0.00,100.00,3.49,0,30
1_Baseline,semantic,73.33,0.00,100.00,5.32,0,30
1_Baseline,simultaneous_write,40.00,0.00,100.00,6.64,0,30
2_StrongOnly,ordering,100.00,0.00,100.00,3.54,0,30
2_StrongOnly,semantic,73.33,0.00,100.00,5.14,0,30
2_StrongOnly,simultaneous_write,40.00,0.00,100.00,5.64,0,30
3_TimestampPriority,ordering,100.00,100.00,100.00,2.89,0,30
3_TimestampPriority,semantic,70.00,100.00,100.00,4.52,0,30
3_TimestampPriority,simultaneous_write,100.00,100.00,100.00,6.35,0,30
4_TrustScorePriority,ordering,100.00,100.00,100.00,4.57,0,30
4_TrustScorePriority,semantic,26.67,100.00,100.00,5.63,0,30
4_TrustScorePriority,simultaneous_write,60.00,100.00,100.00,5.52,0,30
5_LeaderMediation,ordering,100.00,100.00,100.00,3.97,0,30
5_LeaderMediation,semantic,26.67,100.00,100.00,4.70,0,30
5_LeaderMediation,simultaneous_write,60.00,100.00,100.00,6.79,0,30
6_Ablation1_NoJudge,ordering,100.00,100.00,100.00,2.65,0,30
6_Ablation1_NoJudge,semantic,73.33,100.00,100.00,4.11,0,30
6_Ablation1_NoJudge,simultaneous_write,100.00,100.00,100.00,4.23,0,30
7_Ablation2_NoPreFilter,ordering,100.00,100.00,100.00,1654.54,30,30
7_Ablation2_NoPreFilter,semantic,40.00,100.00,100.00,1707.04,30,30
7_Ablation2_NoPreFilter,simultaneous_write,0.00,100.00,100.00,1637.01,30,30
8_FullProposed,ordering,100.00,100.00,100.00,3.94,0,30
8_FullProposed,semantic,46.67,100.00,100.00,1624.83,30,30
8_FullProposed,simultaneous_write,100.00,100.00,100.00,5.80,0,30
