Group,Scenario,Accuracy%,ConsistencyRate%,TaskSuccessRate%,AvgLatencyMs,LLMCalls,Iterations
1_Baseline,ordering,100.00,100.00,100.00,2.42,0,3
1_Baseline,semantic,66.67,66.67,100.00,3.45,0,3
1_Baseline,simultaneous_write,0.00,0.00,100.00,0.00,0,3
2_StrongOnly,ordering,100.00,100.00,100.00,1.24,0,3
2_StrongOnly,semantic,66.67,66.67,100.00,3.02,0,3
2_StrongOnly,simultaneous_write,0.00,0.00,100.00,1.01,0,3
3_TimestampPriority,ordering,100.00,100.00,100.00,4.10,0,3
3_TimestampPriority,semantic,33.33,33.33,100.00,5.92,0,3
3_TimestampPriority,simultaneous_write,100.00,100.00,100.00,6.24,0,3
4_TrustScorePriority,ordering,100.00,100.00,100.00,2.87,0,3
4_TrustScorePriority,semantic,33.33,33.33,100.00,4.70,0,3
4_TrustScorePriority,simultaneous_write,100.00,100.00,100.00,3.45,0,3
5_LeaderMediation,ordering,100.00,100.00,100.00,1.03,0,3
5_LeaderMediation,semantic,33.33,33.33,100.00,5.23,0,3
5_LeaderMediation,simultaneous_write,100.00,100.00,100.00,2.55,0,3
6_Ablation1_NoJudge,ordering,100.00,100.00,100.00,4.25,0,3
6_Ablation1_NoJudge,semantic,66.67,66.67,100.00,2.83,0,3
6_Ablation1_NoJudge,simultaneous_write,100.00,100.00,100.00,5.25,0,3
7_Ablation2_NoPreFilter,ordering,100.00,100.00,100.00,1639.28,3,3
7_Ablation2_NoPreFilter,semantic,100.00,100.00,100.00,1453.83,3,3
7_Ablation2_NoPreFilter,simultaneous_write,0.00,0.00,100.00,1990.33,3,3
8_FullProposed,ordering,100.00,100.00,100.00,5.12,0,3
8_FullProposed,semantic,0.00,0.00,100.00,5.99,0,3
8_FullProposed,simultaneous_write,100.00,100.00,100.00,5.99,0,3
